"id","ageGrp","sex","maritalStat","province","popCenter","eduLevel","feelRushed","extraTime","durSleep","durMealPrep","durEating","durAlone","durDriving","durWork","durShoolSite","durSchoolOnline","durStudy","MRW_20","MRW_30","MRW_40","worked12m","workedWeek","enrollStat","dailyTexts","timeSlowDown","timeWorkaholic","timeNotFamFriends","timeWantAlone","province_char","maritalStat_char","eduLevel_char","isFeelRushed"
10000,5,1,5,46,1,3,1,1,510,60,120,770,90,0,0,0,0,NA,1,1,1,2,NA,8,2,2,2,2,"MB","Divorced","Trade certificate or diploma",1
10001,5,1,1,59,1,4,3,4,420,150,0,0,0,0,0,0,0,NA,2,1,1,2,NA,1,2,2,2,2,"BC","Married","College, CEGEP, or other non-university certificate or dimploma",1
10002,4,2,1,47,1,5,1,6,570,0,0,630,30,480,0,0,0,NA,NA,NA,1,1,NA,7,2,1,1,1,"SK","Married","University certificate or dimploma below the bachelor's level",1
10003,6,2,5,35,1,4,2,4,510,10,45,875,80,20,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"ON","Divorced","College, CEGEP, or other non-university certificate or dimploma",1
10004,2,1,6,35,1,NA,1,3,525,90,40,815,0,0,0,0,0,NA,NA,NA,2,2,NA,1,2,2,2,2,"ON","Single, never married",NA,1
10005,1,1,6,35,1,1,1,6,435,0,0,430,40,530,0,0,0,NA,NA,NA,1,1,NA,2,2,1,1,2,"ON","Single, never married","Less than high school dimploma or its equivalent",1
10006,1,1,6,35,1,1,4,2,635,60,50,650,0,0,0,0,0,NA,2,1,1,2,NA,3,NA,2,2,2,"ON","Single, never married","Less than high school dimploma or its equivalent",0
10007,5,2,3,59,1,4,5,3,440,30,160,1200,60,0,0,0,0,NA,2,2,2,2,NA,8,2,2,1,2,"BC","Widowed","College, CEGEP, or other non-university certificate or dimploma",0
10008,2,2,1,24,2,6,2,3,525,40,70,30,5,410,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"QC","Married","Bachelor's degree",1
10009,6,1,3,46,1,3,6,2,540,20,120,1060,70,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"MB","Widowed","Trade certificate or diploma",0
10010,3,2,1,11,3,6,2,4,480,50,20,10,10,441,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2,"PEI","Married","Bachelor's degree",1
10011,2,2,6,35,1,3,1,6,630,60,20,235,65,475,0,0,0,NA,NA,NA,1,1,NA,2,1,2,1,2,"ON","Single, never married","Trade certificate or diploma",1
10012,2,2,1,35,2,7,1,2,390,0,50,90,90,480,0,0,0,NA,NA,NA,1,1,NA,2,2,2,1,2,"ON","Married","University certificate, diploma, degree above the BA level",1
10013,3,1,1,24,1,6,4,6,510,0,20,200,90,0,0,0,0,2,1,2,2,2,2,1,2,1,2,2,"QC","Married","Bachelor's degree",0
10014,2,2,1,35,1,4,2,6,500,75,45,270,150,0,0,0,0,NA,2,1,1,2,NA,2,2,2,2,1,"ON","Married","College, CEGEP, or other non-university certificate or dimploma",1
10015,5,1,3,48,1,7,1,3,570,0,15,825,15,615,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2,"AB","Widowed","University certificate, diploma, degree above the BA level",1
10016,7,1,1,46,2,7,6,6,660,60,0,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"MB","Married","University certificate, diploma, degree above the BA level",0
10017,4,1,1,35,1,6,2,4,480,60,120,180,45,0,0,0,0,NA,NA,NA,1,1,NA,1,1,2,1,2,"ON","Married","Bachelor's degree",1
10018,6,2,1,12,2,1,3,6,510,15,35,740,330,0,0,0,0,NA,NA,NA,1,1,NA,1,1,1,1,2,"NS","Married","Less than high school dimploma or its equivalent",1
10019,2,1,1,59,1,2,2,5,480,30,30,630,30,600,0,0,0,NA,NA,NA,1,1,NA,4,1,2,2,2,"BC","Married","High school diploma or equivalency",1
10020,7,2,3,59,1,1,3,6,360,10,90,615,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"BC","Widowed","Less than high school dimploma or its equivalent",1
10021,5,2,1,12,1,6,6,1,660,0,50,640,0,0,0,0,0,NA,2,1,1,2,NA,8,2,2,2,2,"NS","Married","Bachelor's degree",0
10022,3,1,2,35,1,5,3,5,480,30,45,1425,230,315,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"ON","Living common-law","University certificate or dimploma below the bachelor's level",1
10023,6,2,1,46,1,1,3,2,330,0,60,255,0,0,0,0,0,NA,2,2,2,2,NA,1,2,1,2,2,"MB","Married","Less than high school dimploma or its equivalent",1
10024,4,2,6,59,1,4,1,6,545,15,90,770,100,0,0,0,0,NA,1,1,1,2,NA,8,2,2,1,1,"BC","Single, never married","College, CEGEP, or other non-university certificate or dimploma",1
10025,2,1,6,24,1,4,4,6,660,240,60,1440,0,0,0,0,0,NA,NA,NA,1,1,NA,7,2,2,2,2,"QC","Single, never married","College, CEGEP, or other non-university certificate or dimploma",0
10026,2,2,2,24,1,3,1,4,480,60,0,80,0,495,0,0,0,NA,NA,NA,1,1,NA,3,2,2,1,2,"QC","Living common-law","Trade certificate or diploma",1
10027,1,1,6,13,1,1,2,1,600,0,30,765,0,0,330,0,0,1,1,2,2,2,1,5,1,2,1,2,"NB","Single, never married","Less than high school dimploma or its equivalent",1
10028,7,1,1,12,1,6,4,1,655,0,80,210,35,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"NS","Married","Bachelor's degree",0
10029,5,2,1,35,1,6,3,2,450,50,70,610,0,0,0,0,0,NA,2,2,2,2,NA,3,2,2,1,2,"ON","Married","Bachelor's degree",1
10030,6,2,1,10,2,6,1,6,600,135,60,1005,15,0,0,0,0,NA,2,2,2,2,NA,8,2,1,1,1,"NL","Married","Bachelor's degree",1
10031,7,2,1,59,1,NA,6,1,495,0,135,1035,0,0,0,0,0,NA,NA,NA,2,2,NA,8,2,2,1,2,"BC","Married",NA,0
10032,2,1,6,47,1,4,1,3,450,30,61,891,40,549,0,0,0,NA,NA,NA,1,1,NA,7,1,2,2,2,"SK","Single, never married","College, CEGEP, or other non-university certificate or dimploma",1
10033,3,2,1,59,1,NA,2,4,420,75,45,385,70,0,0,0,0,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,"BC","Married",NA,1
10034,3,2,1,35,1,3,1,6,390,105,30,185,125,525,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,1,"ON","Married","Trade certificate or diploma",1
10035,4,2,1,24,1,4,2,3,420,70,20,150,90,455,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"QC","Married","College, CEGEP, or other non-university certificate or dimploma",1
10036,3,1,2,24,2,6,1,6,435,0,45,75,30,720,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,2,"QC","Living common-law","Bachelor's degree",1
10037,6,1,5,12,2,1,1,1,450,0,60,1350,45,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"NS","Divorced","Less than high school dimploma or its equivalent",1
10038,6,2,1,13,2,6,4,5,540,105,115,295,10,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,"NB","Married","Bachelor's degree",0
10039,3,1,1,59,1,6,1,6,530,0,20,415,65,0,0,0,0,NA,NA,NA,1,1,NA,2,1,2,1,1,"BC","Married","Bachelor's degree",1
10040,5,2,4,35,2,4,6,5,500,0,15,1290,120,0,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2,"ON","Separated","College, CEGEP, or other non-university certificate or dimploma",0
10041,3,2,1,35,1,5,3,4,540,0,75,390,0,0,0,0,0,NA,NA,1,1,2,NA,1,2,1,1,1,"ON","Married","University certificate or dimploma below the bachelor's level",1
10042,2,2,2,24,1,6,2,3,665,25,40,540,10,0,0,0,0,NA,2,1,1,2,NA,1,2,2,2,2,"QC","Living common-law","Bachelor's degree",1
10043,3,2,5,35,1,7,1,6,480,120,0,915,70,350,0,0,0,NA,NA,NA,1,1,NA,1,1,1,1,1,"ON","Divorced","University certificate, diploma, degree above the BA level",1
10044,2,2,2,24,1,6,2,6,540,165,60,285,20,0,0,0,0,NA,NA,NA,1,1,NA,1,1,2,2,1,"QC","Living common-law","Bachelor's degree",1
10045,3,1,1,35,1,2,1,3,420,110,0,640,30,0,0,490,0,1,2,1,1,2,1,1,2,2,1,2,"ON","Married","High school diploma or equivalency",1
10046,6,2,1,13,1,6,6,6,525,45,75,615,15,0,0,0,0,NA,2,1,1,2,NA,1,2,2,2,2,"NB","Married","Bachelor's degree",0
10047,7,1,1,46,2,3,3,2,510,80,0,90,60,0,0,0,0,NA,2,2,2,2,NA,1,1,2,2,2,"MB","Married","Trade certificate or diploma",1
10048,6,1,4,35,1,2,2,2,270,45,105,385,0,0,0,0,0,NA,2,1,1,2,NA,4,2,1,2,1,"ON","Separated","High school diploma or equivalency",1
10049,2,2,1,24,1,6,2,2,460,85,60,380,50,0,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2,"QC","Married","Bachelor's degree",1
10050,5,1,4,24,1,3,2,NA,630,240,55,1430,0,0,0,0,0,NA,1,2,2,2,NA,3,2,2,2,1,"QC","Separated","Trade certificate or diploma",1
10051,4,2,1,48,1,6,1,6,760,15,25,290,0,320,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,2,"AB","Married","Bachelor's degree",1
10052,5,2,1,24,1,2,2,2,430,190,60,200,0,0,0,0,0,NA,NA,2,2,2,NA,1,2,2,2,1,"QC","Married","High school diploma or equivalency",1
10053,4,2,1,10,1,6,1,6,600,105,35,310,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"NL","Married","Bachelor's degree",1
10054,1,2,6,12,1,6,2,3,670,45,30,940,0,0,0,0,0,NA,NA,NA,1,1,NA,7,2,1,2,2,"NS","Single, never married","Bachelor's degree",1
10055,3,2,1,59,1,2,1,6,315,30,130,195,0,0,0,0,0,NA,2,1,1,2,NA,1,2,2,1,1,"BC","Married","High school diploma or equivalency",1
10056,2,2,1,24,1,6,1,6,415,0,40,500,0,480,0,0,0,NA,2,1,1,2,NA,1,2,2,2,1,"QC","Married","Bachelor's degree",1
10057,4,2,1,11,3,3,2,6,480,20,35,1170,65,475,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,1,"PEI","Married","Trade certificate or diploma",1
10058,4,2,6,12,1,2,1,6,400,0,65,665,100,455,0,0,0,NA,NA,NA,1,1,NA,5,2,1,1,2,"NS","Single, never married","High school diploma or equivalency",1
10059,1,2,6,13,1,6,2,5,770,20,45,490,0,0,0,0,0,1,2,1,1,2,1,1,2,1,1,1,"NB","Single, never married","Bachelor's degree",1
10060,5,2,1,47,1,7,1,6,270,0,90,210,0,480,0,0,0,NA,NA,NA,1,1,NA,2,2,1,1,1,"SK","Married","University certificate, diploma, degree above the BA level",1
10061,5,1,1,48,2,3,4,6,750,0,105,435,0,0,0,0,0,NA,2,1,1,2,NA,1,2,2,1,2,"AB","Married","Trade certificate or diploma",0
10062,3,2,1,35,1,7,2,6,390,0,30,180,90,0,0,0,0,NA,1,2,2,2,NA,7,2,2,2,1,"ON","Married","University certificate, diploma, degree above the BA level",1
10063,1,1,6,10,1,1,1,3,540,0,30,600,0,20,0,0,0,1,2,1,1,2,1,3,2,2,2,2,"NL","Single, never married","Less than high school dimploma or its equivalent",1
10064,2,1,2,24,1,3,3,4,615,25,60,0,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,2,"QC","Living common-law","Trade certificate or diploma",1
10065,2,2,1,13,1,6,2,6,420,60,210,85,0,0,0,0,0,NA,1,2,2,2,NA,5,2,2,2,2,"NB","Married","Bachelor's degree",1
10066,3,1,6,35,1,6,1,2,570,0,0,1260,0,0,570,0,0,1,2,2,2,2,1,1,2,2,2,1,"ON","Single, never married","Bachelor's degree",1
10067,6,2,1,35,1,2,2,6,485,115,30,800,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,1,1,"ON","Married","High school diploma or equivalency",1
10068,2,2,6,13,2,4,3,2,660,80,60,150,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,1,2,1,"NB","Single, never married","College, CEGEP, or other non-university certificate or dimploma",1
10069,3,2,1,35,1,6,2,5,480,60,60,250,95,370,0,0,0,NA,NA,NA,1,1,NA,3,2,2,1,1,"ON","Married","Bachelor's degree",1
10070,5,2,1,35,1,2,6,6,600,60,80,670,90,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,"ON","Married","High school diploma or equivalency",0
10071,6,2,3,13,1,6,5,2,510,10,120,995,45,0,0,0,0,NA,2,2,2,2,NA,8,2,2,NA,2,"NB","Widowed","Bachelor's degree",0
10072,5,2,1,59,1,2,2,5,450,45,30,15,105,510,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"BC","Married","High school diploma or equivalency",1
10073,7,2,1,24,1,2,1,3,590,45,225,20,0,0,0,0,0,NA,2,2,2,2,NA,1,1,2,2,1,"QC","Married","High school diploma or equivalency",1
10074,4,1,6,48,2,4,1,6,480,0,30,1120,20,0,0,0,0,NA,NA,NA,1,1,NA,1,2,1,1,2,"AB","Single, never married","College, CEGEP, or other non-university certificate or dimploma",1
10075,7,2,3,35,1,2,3,1,630,30,50,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,1,2,1,2,"ON","Widowed","High school diploma or equivalency",1
10076,4,2,5,35,1,4,1,1,630,0,0,1380,0,0,0,0,0,NA,2,2,2,2,NA,2,2,1,2,2,"ON","Divorced","College, CEGEP, or other non-university certificate or dimploma",1
10077,5,1,5,24,1,1,4,6,505,130,45,1335,0,0,0,0,0,NA,2,1,1,2,NA,8,2,2,2,2,"QC","Divorced","Less than high school dimploma or its equivalent",0
10078,7,2,1,24,1,NA,6,6,900,0,120,0,0,0,0,0,0,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,"QC","Married",NA,0
10079,6,2,3,11,3,1,6,2,720,60,65,1045,0,0,0,0,0,NA,2,2,2,2,NA,8,2,1,1,2,"PEI","Widowed","Less than high school dimploma or its equivalent",0
10080,1,1,6,24,1,2,2,4,400,0,15,735,0,125,0,0,45,1,2,1,1,2,1,7,2,1,2,1,"QC","Single, never married","High school diploma or equivalency",1
10081,6,2,5,48,1,3,5,6,525,90,40,900,25,510,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,2,"AB","Divorced","Trade certificate or diploma",0
10082,2,2,1,35,1,4,1,6,495,45,75,315,0,0,0,0,0,NA,NA,NA,1,1,NA,7,1,2,2,2,"ON","Married","College, CEGEP, or other non-university certificate or dimploma",1
10083,6,1,1,11,3,1,1,1,480,0,15,345,60,0,0,0,0,NA,2,2,2,2,NA,8,1,2,2,2,"PEI","Married","Less than high school dimploma or its equivalent",1
10084,6,1,1,10,2,6,6,6,310,30,60,685,145,0,0,0,0,NA,2,2,2,2,NA,8,2,1,2,2,"NL","Married","Bachelor's degree",0
10085,2,1,2,10,1,3,3,6,810,0,130,0,65,0,0,0,0,NA,1,2,2,2,NA,3,2,2,2,2,"NL","Living common-law","Trade certificate or diploma",1
10086,3,2,1,35,1,4,2,6,530,75,70,955,50,0,0,0,0,NA,2,1,1,2,NA,2,2,2,2,2,"ON","Married","College, CEGEP, or other non-university certificate or dimploma",1
10087,3,1,1,46,1,2,2,3,300,40,0,35,35,735,0,0,0,NA,NA,NA,1,1,NA,7,2,1,1,2,"MB","Married","High school diploma or equivalency",1
10088,1,1,6,47,2,3,2,3,435,0,60,495,135,735,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"SK","Single, never married","Trade certificate or diploma",1
10089,6,2,1,24,1,7,4,6,480,35,160,370,20,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,"QC","Married","University certificate, diploma, degree above the BA level",0
10090,2,1,6,35,2,4,2,4,555,0,120,600,60,0,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2,"ON","Single, never married","College, CEGEP, or other non-university certificate or dimploma",1
10091,3,2,1,24,1,NA,2,6,390,90,0,315,70,480,0,0,0,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,"QC","Married",NA,1
10092,6,2,3,46,1,2,2,6,690,0,0,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"MB","Widowed","High school diploma or equivalency",1
10093,3,1,1,35,1,4,6,3,270,0,0,960,0,540,0,0,0,NA,NA,NA,1,1,NA,2,2,2,1,2,"ON","Married","College, CEGEP, or other non-university certificate or dimploma",0
10094,5,1,5,35,2,4,2,6,180,170,60,1350,100,0,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2,"ON","Divorced","College, CEGEP, or other non-university certificate or dimploma",1
10095,2,2,1,46,1,NA,2,3,450,120,0,60,0,540,0,0,0,NA,NA,NA,1,1,NA,2,2,2,1,2,"MB","Married",NA,1
10096,6,1,1,12,1,1,6,1,450,60,50,730,10,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"NS","Married","Less than high school dimploma or its equivalent",0
10097,2,2,1,10,1,2,3,5,460,50,60,555,40,450,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2,"NL","Married","High school diploma or equivalency",1
10098,3,2,6,24,1,5,1,2,540,0,30,60,120,480,0,0,0,NA,NA,NA,1,1,NA,1,2,1,1,1,"QC","Single, never married","University certificate or dimploma below the bachelor's level",1
10099,5,2,6,24,1,1,1,6,510,120,120,1170,60,0,0,0,0,NA,NA,NA,1,1,NA,7,2,1,2,2,"QC","Single, never married","Less than high school dimploma or its equivalent",1
10100,7,1,1,59,1,6,3,3,570,100,90,0,100,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,"BC","Married","Bachelor's degree",1
10101,3,2,1,47,1,4,2,6,570,200,0,255,140,0,0,0,0,NA,2,1,1,2,NA,1,2,2,2,1,"SK","Married","College, CEGEP, or other non-university certificate or dimploma",1
10102,5,1,1,13,1,6,1,6,690,0,105,405,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,1,"NB","Married","Bachelor's degree",1
10103,5,1,6,59,1,4,1,6,390,0,20,1440,0,1010,0,0,0,NA,NA,NA,1,1,NA,1,2,1,1,2,"BC","Single, never married","College, CEGEP, or other non-university certificate or dimploma",1
10104,5,2,1,48,1,4,1,3,720,0,60,390,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,1,"AB","Married","College, CEGEP, or other non-university certificate or dimploma",1
10105,3,1,2,24,1,7,1,6,390,0,60,210,10,720,0,0,0,NA,NA,NA,1,1,NA,2,1,2,1,1,"QC","Living common-law","University certificate, diploma, degree above the BA level",1
10106,4,1,6,59,1,7,2,3,630,0,90,1440,0,420,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"BC","Single, never married","University certificate, diploma, degree above the BA level",1
10107,6,1,1,12,1,6,6,2,535,95,75,145,65,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,"NS","Married","Bachelor's degree",0
10108,7,1,5,35,1,2,6,3,460,80,50,1440,40,0,0,0,0,NA,2,2,2,2,NA,8,2,2,1,2,"ON","Divorced","High school diploma or equivalency",0
10109,4,2,1,35,1,2,1,4,500,75,20,260,105,320,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,2,"ON","Married","High school diploma or equivalency",1
10110,3,2,6,35,1,6,2,6,420,270,0,0,0,0,0,0,0,1,2,1,1,2,1,3,2,2,1,1,"ON","Single, never married","Bachelor's degree",1
10111,1,1,6,35,1,3,2,2,235,0,0,445,0,325,0,0,0,NA,NA,NA,1,1,NA,3,2,2,2,2,"ON","Single, never married","Trade certificate or diploma",1
10112,2,2,1,12,1,2,2,6,450,90,90,480,30,450,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2,"NS","Married","High school diploma or equivalency",1
10113,2,2,6,24,1,6,2,3,540,120,155,760,0,0,0,0,0,NA,2,1,1,2,NA,2,1,2,1,2,"QC","Single, never married","Bachelor's degree",1
10114,2,1,2,48,1,1,1,3,405,0,30,150,120,690,0,0,0,NA,NA,NA,1,1,NA,7,2,1,1,2,"AB","Living common-law","Less than high school dimploma or its equivalent",1
10115,3,1,6,11,3,4,3,6,630,0,90,950,100,0,0,0,0,NA,NA,NA,1,1,NA,3,2,2,2,2,"PEI","Single, never married","College, CEGEP, or other non-university certificate or dimploma",1
10116,2,1,1,24,1,6,2,2,600,0,120,270,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,1,2,2,"QC","Married","Bachelor's degree",1
10117,5,1,6,48,1,2,1,3,540,90,60,1440,20,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,"AB","Single, never married","High school diploma or equivalency",1
10118,7,2,5,35,1,6,6,6,705,0,70,1440,30,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"ON","Divorced","Bachelor's degree",0
10119,4,2,1,35,1,NA,2,4,700,20,20,720,0,420,0,0,0,NA,NA,NA,2,2,NA,1,2,2,2,1,"ON","Married",NA,1
10120,1,2,6,35,1,2,2,2,570,60,0,870,60,0,0,0,240,1,1,2,2,2,1,3,1,2,2,2,"ON","Single, never married","High school diploma or equivalency",1
10121,3,2,6,46,1,5,2,6,570,15,50,745,0,495,0,0,0,3,2,1,1,2,2,1,1,1,1,2,"MB","Single, never married","University certificate or dimploma below the bachelor's level",1
10122,3,2,6,35,1,7,4,6,595,40,175,720,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"ON","Single, never married","University certificate, diploma, degree above the BA level",0
10123,6,2,1,35,1,2,3,2,500,100,10,220,45,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"ON","Married","High school diploma or equivalency",1
10124,4,2,6,35,1,1,6,3,540,120,0,890,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,1,"ON","Single, never married","Less than high school dimploma or its equivalent",0
10125,6,2,3,48,2,1,3,1,650,0,75,1050,150,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"AB","Widowed","Less than high school dimploma or its equivalent",1
10126,7,1,1,11,3,1,5,6,465,0,105,20,0,0,0,0,0,NA,2,1,1,2,NA,8,1,2,1,2,"PEI","Married","Less than high school dimploma or its equivalent",0
10127,4,2,2,24,1,4,4,6,510,0,120,0,105,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"QC","Living common-law","College, CEGEP, or other non-university certificate or dimploma",0
10128,5,1,1,12,2,4,6,6,385,0,75,605,25,515,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"NS","Married","College, CEGEP, or other non-university certificate or dimploma",0
10129,6,2,6,10,1,2,1,6,510,0,270,810,0,0,0,0,0,NA,2,2,2,2,NA,1,2,1,2,2,"NL","Single, never married","High school diploma or equivalency",1
10130,5,1,3,10,2,3,3,1,605,160,0,1355,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,"NL","Widowed","Trade certificate or diploma",1
10131,5,1,3,35,2,1,3,3,480,155,60,1440,0,0,0,0,0,NA,NA,NA,1,1,NA,8,2,2,1,2,"ON","Widowed","Less than high school dimploma or its equivalent",1
10132,4,2,5,24,1,4,1,3,610,0,15,630,0,510,0,0,0,NA,NA,NA,1,1,NA,2,1,1,2,2,"QC","Divorced","College, CEGEP, or other non-university certificate or dimploma",1
10133,6,2,6,59,1,7,2,4,480,30,30,1170,135,0,0,0,0,NA,2,2,2,2,NA,8,2,1,2,2,"BC","Single, never married","University certificate, diploma, degree above the BA level",1
10134,3,2,1,24,1,4,1,4,395,0,50,320,200,75,0,0,0,NA,NA,NA,1,1,2,7,2,1,2,1,"QC","Married","College, CEGEP, or other non-university certificate or dimploma",1
10135,4,1,6,35,1,1,3,5,480,0,30,1275,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,1,2,"ON","Single, never married","Less than high school dimploma or its equivalent",1
10136,4,1,6,59,1,2,3,3,600,120,30,60,0,0,0,0,0,NA,2,2,2,2,NA,1,NA,NA,2,1,"BC","Single, never married","High school diploma or equivalency",1
10137,1,1,6,48,1,1,3,1,600,0,0,0,0,0,0,0,0,NA,NA,1,1,2,NA,1,1,2,2,2,"AB","Single, never married","Less than high school dimploma or its equivalent",1
10138,2,1,2,13,1,7,6,6,360,30,75,165,0,815,0,0,0,NA,NA,NA,1,1,NA,7,2,2,2,2,"NB","Living common-law","University certificate, diploma, degree above the BA level",0
10139,3,2,1,35,1,4,2,3,800,0,140,200,300,0,0,0,0,NA,2,1,1,2,NA,3,2,2,2,2,"ON","Married","College, CEGEP, or other non-university certificate or dimploma",1
10140,7,1,1,35,1,3,1,6,690,0,90,1040,50,0,0,0,0,NA,2,2,2,2,NA,8,1,2,1,2,"ON","Married","Trade certificate or diploma",1
10141,4,2,1,13,2,2,1,6,510,0,25,115,75,650,0,0,0,NA,NA,NA,1,1,NA,8,2,1,1,2,"NB","Married","High school diploma or equivalency",1
10142,4,1,1,35,1,3,1,2,450,0,20,925,25,810,0,0,0,NA,NA,NA,1,1,NA,1,1,1,1,2,"ON","Married","Trade certificate or diploma",1
10143,5,2,2,24,2,3,2,4,40,15,45,495,0,445,0,0,0,NA,NA,NA,1,1,NA,8,2,1,2,2,"QC","Living common-law","Trade certificate or diploma",1
10144,6,2,3,12,1,2,6,2,570,0,195,720,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"NS","Widowed","High school diploma or equivalency",0
10145,4,2,1,24,1,1,3,1,865,0,35,915,0,0,0,0,0,NA,2,2,2,2,NA,1,1,2,2,2,"QC","Married","Less than high school dimploma or its equivalent",1
10146,4,1,1,48,2,2,3,6,450,20,235,765,55,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,"AB","Married","High school diploma or equivalency",1
10147,6,2,1,46,1,4,2,6,525,65,150,525,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,"MB","Married","College, CEGEP, or other non-university certificate or dimploma",1
10148,3,2,2,48,1,4,1,5,535,150,60,185,20,0,0,0,0,NA,2,2,2,2,NA,1,2,1,2,1,"AB","Living common-law","College, CEGEP, or other non-university certificate or dimploma",1
10149,6,2,3,35,1,1,5,2,630,60,0,1200,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"ON","Widowed","Less than high school dimploma or its equivalent",0
10150,6,2,5,24,1,4,3,6,630,50,75,1440,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,1,2,"QC","Divorced","College, CEGEP, or other non-university certificate or dimploma",1
10151,3,2,1,24,1,2,NA,6,590,165,0,130,0,0,265,0,110,NA,2,2,2,2,1,1,NA,1,NA,NA,"QC","Married","High school diploma or equivalency",NA
10152,7,2,3,59,1,2,6,6,600,150,30,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"BC","Widowed","High school diploma or equivalency",0
10153,5,1,2,35,1,NA,2,4,480,125,50,1390,0,0,0,0,0,NA,NA,NA,1,1,NA,1,1,1,1,1,"ON","Living common-law",NA,1
10154,6,1,1,13,2,4,5,3,360,0,80,420,0,0,0,0,0,NA,2,2,2,2,NA,8,2,1,2,2,"NB","Married","College, CEGEP, or other non-university certificate or dimploma",0
10155,3,1,2,35,2,4,2,6,510,0,120,260,120,370,0,0,0,NA,NA,NA,1,1,NA,1,2,1,1,1,"ON","Living common-law","College, CEGEP, or other non-university certificate or dimploma",1
10156,6,2,1,35,1,2,1,6,390,45,40,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,1,2,2,2,"ON","Married","High school diploma or equivalency",1
10157,6,2,1,24,1,2,4,3,500,30,35,995,35,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,"QC","Married","High school diploma or equivalency",0
10158,6,2,5,12,1,7,4,4,420,330,0,1220,40,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,"NS","Divorced","University certificate, diploma, degree above the BA level",0
